Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp
KCNC1	ENSG00000129159.6	5.560	33.871	-2.410	4.82e-89
FAM64A	ENSG00000129195.15	3.910	0.190	2.045	5.11e-76
TXNDC17	ENSG00000129235.10	67.674	28.450	1.222	2.98e-134
MPDU1	ENSG00000129255.14	77.364	26.981	1.486	1.82e-174
KRI1	ENSG00000129347.19	22.440	9.640	1.139	4.62e-117
ILF3	ENSG00000129351.17	112.341	49.679	1.161	1.30e-142
SLC44A2	ENSG00000129353.14	134.656	50.139	1.407	5.37e-142
SIGLEC9	ENSG00000129450.8	2.130	0.230	1.347	2.47e-49
HEATR5A	ENSG00000129493.14	11.805	3.990	1.360	1.74e-113
SNX6	ENSG00000129515.18	39.225	15.519	1.284	5.47e-112
FOXJ1	ENSG00000129654.7	3.045	0.940	1.060	6.85e-32
RHBDF2	ENSG00000129667.12	15.670	3.450	1.905	1.31e-66
MAP7D3	ENSG00000129680.15	2.905	0.780	1.133	1.04e-79
FGF13	ENSG00000129682.13	11.185	27.870	-1.244	4.99e-29
TTI2	ENSG00000129696.12	8.435	3.310	1.130	4.26e-152
LPPR3	ENSG00000129951.18	4.855	17.660	-1.672	5.47e-44
SYT5	ENSG00000129990.14	10.030	100.412	-3.201	6.29e-77
HDHD1	ENSG00000130021.13	10.470	4.320	1.108	1.32e-122
PRRG3	ENSG00000130032.15	0.355	7.690	-2.681	3.84e-145
GNL3L	ENSG00000130119.15	4.385	0.900	1.503	2.61e-121
SH3BP4	ENSG00000130147.15	16.230	4.320	1.695	4.18e-128
PVRL2	ENSG00000130202.9	23.031	10.990	1.003	1.50e-74
GADD45G	ENSG00000130222.10	60.854	10.000	2.491	7.84e-94
LRCH2	ENSG00000130224.14	5.955	2.160	1.138	1.22e-109
RPL36	ENSG00000130255.12	825.771	333.281	1.306	2.63e-109
NCAN	ENSG00000130287.13	130.571	34.779	1.879	1.03e-68
KIF1A	ENSG00000130294.14	131.885	290.319	-1.132	5.03e-52
PLVAP	ENSG00000130300.8	5.960	0.620	2.103	1.57e-116
PGLS	ENSG00000130313.6	64.767	22.969	1.456	7.47e-152
LSM7	ENSG00000130332.14	135.612	47.451	1.495	1.64e-134
QRSL1	ENSG00000130348.11	8.650	3.390	1.136	6.59e-139
STK33	ENSG00000130413.15	14.000	3.920	1.608	6.13e-125
FCHO1	ENSG00000130475.14	7.240	17.930	-1.200	6.86e-54
UNC13A	ENSG00000130477.14	12.805	34.811	-1.375	1.26e-33
PXDN	ENSG00000130508.10	12.245	3.550	1.541	8.58e-63
PGPEP1	ENSG00000130517.13	14.110	6.400	1.030	3.79e-90
SULT4A1	ENSG00000130540.13	7.370	129.714	-3.965	9.54e-86
OLFM1	ENSG00000130558.18	105.825	701.597	-2.717	5.60e-90
HELZ2	ENSG00000130589.16	5.740	1.630	1.358	4.48e-64
PNPLA7	ENSG00000130653.15	2.840	11.530	-1.706	2.33e-116
FIBCD1	ENSG00000130720.12	2.020	0.470	1.039	5.54e-52
TRIM28	ENSG00000130726.11	244.933	100.509	1.277	9.59e-128
TMEM160	ENSG00000130748.6	11.895	48.610	-1.944	7.76e-121
ZC3H4	ENSG00000130749.9	16.970	6.550	1.251	4.31e-159
NPAS1	ENSG00000130751.9	1.695	10.630	-2.109	1.67e-108
GMFG	ENSG00000130755.12	25.000	10.600	1.164	1.29e-64
MAP3K10	ENSG00000130758.7	20.135	79.793	-1.935	3.96e-109
THEMIS2	ENSG00000130775.15	12.450	5.350	1.083	2.94e-35
ZNF426	ENSG00000130818.10	5.060	1.550	1.249	1.39e-158
PNCK	ENSG00000130822.15	13.835	77.988	-2.413	1.34e-91
SLC7A10	ENSG00000130876.11	0.460	8.830	-2.751	8.48e-73
SLC35D2	ENSG00000130958.11	17.435	4.550	1.732	2.90e-124
RGN	ENSG00000130988.12	6.925	17.030	-1.186	1.01e-28
PPIL4	ENSG00000131013.3	16.645	6.710	1.194	3.63e-110
GFAP	ENSG00000131095.11	7431.047	1168.627	2.668	1.47e-76
ZNF227	ENSG00000131115.15	12.660	5.740	1.019	2.82e-89
SH3BGRL	ENSG00000131171.12	128.693	61.099	1.062	4.58e-107
F12	ENSG00000131187.9	3.030	7.380	-1.056	1.79e-25
PRR7	ENSG00000131188.11	5.290	13.290	-1.184	3.64e-50
PPT1	ENSG00000131238.16	116.722	54.349	1.089	2.02e-105
RAB11FIP4	ENSG00000131242.15	13.845	36.309	-1.330	5.81e-53
HAUS8	ENSG00000131351.14	5.650	2.070	1.115	4.28e-96
TBC1D5	ENSG00000131374.14	30.120	11.960	1.264	2.80e-93
RBSN	ENSG00000131381.12	24.015	11.020	1.057	1.90e-88
GALNT15	ENSG00000131386.17	41.940	8.340	2.201	5.27e-88
KCNC3	ENSG00000131398.13	5.190	20.629	-1.805	4.27e-79
NAPSB	ENSG00000131401.11	8.015	0.760	2.357	5.84e-55
PSME3	ENSG00000131467.10	63.511	30.070	1.054	2.27e-97
RPL27	ENSG00000131469.12	1412.073	590.747	1.256	4.55e-114
PSMC3IP	ENSG00000131470.14	8.395	3.570	1.040	4.13e-83
VPS25	ENSG00000131475.6	48.916	21.810	1.130	9.22e-151
RAMP2	ENSG00000131477.10	41.759	14.790	1.437	1.11e-129
EXOC4	ENSG00000131558.14	38.051	14.770	1.308	4.80e-155
THOC6	ENSG00000131652.13	15.225	6.090	1.194	1.20e-116
NINJ1	ENSG00000131669.9	73.955	22.099	1.698	2.23e-96
IL13RA1	ENSG00000131724.10	16.365	3.720	1.879	2.40e-96
TOP2A	ENSG00000131747.14	5.400	0.090	2.554	2.03e-88
RARA	ENSG00000131759.17	25.476	9.800	1.294	1.47e-94
PPP1R1B	ENSG00000131771.13	40.425	166.386	-2.015	1.54e-51
MCCC2	ENSG00000131844.15	27.480	10.950	1.253	8.79e-146
VIMP	ENSG00000131871.14	53.121	18.301	1.488	6.06e-185
KRT17P1	ENSG00000131885.16	0.285	12.910	-3.436	6.54e-206
LLGL1	ENSG00000131899.10	50.829	18.070	1.442	2.37e-121
RHPN2	ENSG00000131941.7	9.930	4.150	1.086	1.73e-42
ZSWIM4	ENSG00000132003.9	5.975	2.240	1.106	2.92e-96
RTBDN	ENSG00000132026.13	1.210	10.550	-2.386	8.83e-95
TRIM21	ENSG00000132109.9	6.745	2.140	1.302	2.36e-78
SPATA6	ENSG00000132122.11	6.040	2.470	1.021	3.91e-26
RAF1	ENSG00000132155.11	62.595	29.421	1.064	4.07e-117
TRIM5	ENSG00000132256.18	4.910	1.100	1.493	1.87e-83
TRIM22	ENSG00000132274.15	20.095	6.300	1.531	1.43e-50
IQCA1	ENSG00000132321.16	2.175	10.650	-1.875	2.47e-61
RAMP1	ENSG00000132329.10	232.050	83.969	1.456	1.26e-89
PTPRE	ENSG00000132334.16	17.880	7.020	1.235	2.66e-83
RAN	ENSG00000132341.11	323.696	155.837	1.050	1.78e-104
RAP1GAP2	ENSG00000132359.13	4.580	30.030	-2.475	4.33e-90
RPA1	ENSG00000132383.11	50.811	18.630	1.400	2.06e-167
SERPINF1	ENSG00000132386.10	21.099	49.449	-1.191	5.15e-19
TBC1D14	ENSG00000132405.18	68.242	28.010	1.255	3.95e-128
TMEM128	ENSG00000132406.11	34.226	12.780	1.354	1.74e-166
POPDC3	ENSG00000132429.9	1.955	12.960	-2.240	1.89e-97
UTP3	ENSG00000132467.3	18.770	8.580	1.045	1.50e-133
H3F3B	ENSG00000132475.8	986.926	173.488	2.501	1.73e-209
UNK	ENSG00000132478.9	22.930	8.620	1.315	4.28e-140
TRIM47	ENSG00000132481.6	81.695	18.621	2.075	4.44e-103
XAF1	ENSG00000132530.16	6.275	15.510	-1.182	1.83e-25
MATN2	ENSG00000132561.13	39.345	6.300	2.466	3.43e-121
PCBD2	ENSG00000132570.14	6.475	2.360	1.154	1.60e-131
NIP7	ENSG00000132603.13	11.680	4.470	1.213	6.88e-146
MTSS1L	ENSG00000132613.14	354.390	143.817	1.295	5.86e-83
SNAP25	ENSG00000132639.12	105.050	922.879	-3.123	1.62e-66
PCNA	ENSG00000132646.10	51.800	15.540	1.675	7.18e-152
NXT1	ENSG00000132661.3	14.085	4.390	1.485	1.92e-161
RIN2	ENSG00000132669.12	33.790	6.790	2.159	5.49e-190
NES	ENSG00000132688.10	119.742	6.390	4.030	4.57e-219
SYT11	ENSG00000132718.8	214.145	101.997	1.063	4.76e-64
LPIN3	ENSG00000132793.11	0.530	2.410	-1.156	8.52e-77
RBM38	ENSG00000132819.16	20.015	8.300	1.176	6.07e-104
VSTM2L	ENSG00000132821.11	9.135	81.548	-3.026	1.96e-86
LINC01260	ENSG00000132832.9	0.630	3.820	-1.564	1.79e-142
ZBED3	ENSG00000132846.5	12.740	2.780	1.862	8.66e-186
SYT4	ENSG00000132872.11	5.450	25.910	-2.061	5.00e-38
FBXO44	ENSG00000132879.13	59.521	143.787	-1.258	1.17e-50
MTUS2	ENSG00000132938.18	0.310	4.770	-2.139	2.18e-125
HMGB1P5	ENSG00000132967.9	83.244	29.730	1.455	7.37e-124
GPR12	ENSG00000132975.7	0.695	3.690	-1.468	7.54e-57
RFXAP	ENSG00000133111.3	7.515	3.040	1.076	8.72e-128
TPT1	ENSG00000133112.16	2811.452	923.007	1.606	4.18e-147
RFC3	ENSG00000133119.12	5.075	1.810	1.112	1.47e-98
MORC4	ENSG00000133131.14	5.605	1.690	1.296	4.99e-123
RNF128	ENSG00000133135.13	0.300	2.090	-1.249	8.75e-47
SLC39A11	ENSG00000133195.11	17.510	5.660	1.475	9.45e-118
RARRES3	ENSG00000133321.10	62.906	14.680	2.027	3.12e-70
MYH11	ENSG00000133392.16	1.310	4.090	-1.140	1.53e-24
ZDHHC8P1	ENSG00000133519.12	0.945	12.790	-2.826	1.05e-119
GIMAP6	ENSG00000133561.15	6.885	2.160	1.319	3.62e-90
GIMAP4	ENSG00000133574.9	14.470	4.680	1.446	1.81e-78
IPO8	ENSG00000133704.9	19.994	8.650	1.121	4.67e-114
LARS	ENSG00000133706.17	71.233	33.390	1.071	1.05e-112
LRRCC1	ENSG00000133739.15	10.885	3.590	1.373	3.45e-105
MICAL2	ENSG00000133816.13	5.345	93.512	-3.897	6.32e-123
RRAS2	ENSG00000133818.12	15.930	5.010	1.494	1.07e-130
RNF122	ENSG00000133874.1	5.780	0.830	1.889	3.00e-109
GSC	ENSG00000133937.4	1.045	0.000	1.032	4.64e-71
LOXL2	ENSG00000134013.15	3.805	1.180	1.140	1.65e-53
VHL	ENSG00000134086.7	24.256	9.130	1.318	3.96e-103
MEIS2	ENSG00000134138.19	27.555	12.390	1.093	6.24e-71
GSTM5	ENSG00000134201.10	5.350	30.279	-2.300	3.44e-53
SYT6	ENSG00000134207.14	6.340	0.890	1.957	1.12e-113
NOTCH2	ENSG00000134250.17	21.009	6.170	1.618	4.42e-96
SPIRE1	ENSG00000134278.14	49.821	18.350	1.393	1.43e-97
SLC38A2	ENSG00000134294.13	42.816	17.730	1.226	3.51e-78
KIDINS220	ENSG00000134313.14	43.465	20.281	1.063	4.23e-71
MYCN	ENSG00000134323.10	9.215	1.600	1.974	1.54e-114
IL6ST	ENSG00000134352.19	40.125	16.760	1.211	7.64e-84
NAV1	ENSG00000134369.15	25.446	9.360	1.352	1.92e-86
RPS15A	ENSG00000134419.15	1232.566	289.917	2.084	4.53e-179
KCTD1	ENSG00000134504.12	18.840	45.981	-1.244	3.12e-45
RERG	ENSG00000134533.6	1.545	8.310	-1.871	2.62e-120
LRP4	ENSG00000134569.9	72.038	32.291	1.134	1.21e-56
SOX3	ENSG00000134595.7	3.850	0.360	1.834	6.40e-100
SPOCD1	ENSG00000134668.12	2.250	0.330	1.289	1.20e-30
PHC2	ENSG00000134686.16	100.921	41.351	1.267	1.86e-111
HOOK1	ENSG00000134709.10	0.315	3.760	-1.856	1.47e-112
PRPF38A	ENSG00000134748.12	25.336	9.680	1.302	1.99e-138
RNF138	ENSG00000134758.13	14.990	3.980	1.683	2.46e-152
FADS2	ENSG00000134824.13	376.889	65.222	2.513	7.12e-171
TMEM258	ENSG00000134825.13	152.841	71.928	1.077	2.97e-148
PDGFRA	ENSG00000134853.11	52.505	6.490	2.837	4.37e-98
KDELC1	ENSG00000134901.12	3.045	0.960	1.045	3.43e-104
STT3A	ENSG00000134910.12	44.424	12.470	1.754	2.90e-186
ETS1	ENSG00000134954.14	18.515	4.280	1.886	3.94e-98
SLC37A2	ENSG00000134955.11	3.540	0.640	1.469	2.20e-85
TMED7	ENSG00000134970.13	34.809	11.310	1.540	3.56e-149
NAA35	ENSG00000135040.15	13.560	6.200	1.016	3.62e-97
GOLM1	ENSG00000135052.16	179.413	48.809	1.857	4.82e-172
FAM189A2	ENSG00000135063.17	36.574	10.980	1.649	1.39e-54
PSAT1	ENSG00000135069.13	179.482	57.308	1.630	3.18e-99
HAVCR2	ENSG00000135077.8	9.725	1.510	2.095	2.05e-96
MSI1	ENSG00000135097.6	21.655	4.470	2.050	5.54e-188
FBXO21	ENSG00000135108.14	37.786	16.800	1.124	8.33e-85
TRAFD1	ENSG00000135148.11	29.905	8.240	1.742	4.06e-210
PNPLA8	ENSG00000135241.16	40.860	19.040	1.063	4.90e-80
SYNCRIP	ENSG00000135316.17	39.171	13.180	1.502	1.65e-156
NT5E	ENSG00000135318.11	15.965	5.460	1.393	8.88e-78
MRAP2	ENSG00000135324.5	1.570	10.810	-2.200	4.73e-58
PRR5L	ENSG00000135362.13	9.275	2.200	1.683	4.67e-88
LMO2	ENSG00000135363.11	35.500	16.530	1.058	1.76e-50
PHF21A	ENSG00000135365.15	27.855	12.180	1.130	2.09e-96
PRPH	ENSG00000135406.13	4.295	0.480	1.839	2.38e-95
GLS2	ENSG00000135423.12	1.135	30.091	-3.864	4.15e-160
TESPA1	ENSG00000135426.14	0.620	72.278	-5.499	5.72e-149
TROAP	ENSG00000135451.12	1.510	0.070	1.230	5.81e-55
TSPAN31	ENSG00000135452.9	58.575	25.451	1.171	2.16e-81
ZC3H10	ENSG00000135482.6	3.495	1.240	1.005	1.38e-154
HNRNPA1	ENSG00000135486.17	1030.800	289.515	1.828	1.19e-168
OS9	ENSG00000135506.15	167.939	73.618	1.179	5.81e-101
KCNH3	ENSG00000135519.6	3.460	87.608	-4.312	2.06e-154
NHSL1	ENSG00000135540.11	10.015	2.360	1.713	2.27e-126
HEY2	ENSG00000135547.8	13.685	2.440	2.094	5.46e-122
RAB11FIP5	ENSG00000135631.15	12.870	32.581	-1.276	9.08e-54
GNS	ENSG00000135677.10	26.005	9.270	1.395	5.47e-110
KIAA0513	ENSG00000135709.12	13.240	61.840	-2.142	2.57e-72
SLC9A5	ENSG00000135740.16	1.405	5.360	-1.403	1.12e-79
PCNXL2	ENSG00000135749.18	9.195	24.950	-1.348	1.45e-76
KCNK1	ENSG00000135750.14	8.479	31.291	-1.768	5.31e-38
URB2	ENSG00000135763.9	4.035	1.300	1.130	1.03e-141
TAF5L	ENSG00000135801.9	12.590	5.450	1.075	6.78e-112
NPL	ENSG00000135838.13	20.035	7.300	1.342	1.24e-59
LAMC1	ENSG00000135862.5	7.770	3.260	1.042	4.29e-53
SP110	ENSG00000135899.16	10.280	3.030	1.485	4.22e-88
TTLL4	ENSG00000135912.10	33.020	15.570	1.038	1.29e-97
SERPINE2	ENSG00000135919.12	206.149	84.418	1.278	3.37e-77
EPC2	ENSG00000135999.11	17.505	8.130	1.019	2.61e-88
PWP1	ENSG00000136045.11	33.375	15.950	1.020	1.58e-115
KIAA1033	ENSG00000136051.13	14.665	5.230	1.330	3.09e-120
VILL	ENSG00000136059.14	3.455	11.190	-1.452	8.99e-57
PCDH8	ENSG00000136099.13	5.345	20.470	-1.759	3.59e-29
RCBTB1	ENSG00000136144.11	24.460	11.300	1.050	2.94e-78
LMO7	ENSG00000136153.19	5.365	21.259	-1.806	2.29e-72
ITM2B	ENSG00000136156.12	887.036	305.451	1.535	4.10e-114
RCBTB2	ENSG00000136161.12	18.305	5.230	1.632	9.35e-145
LCP1	ENSG00000136167.13	9.935	1.340	2.224	4.21e-99
RAPGEF5	ENSG00000136237.18	10.795	23.581	-1.059	8.58e-22
RAC1	ENSG00000136238.17	261.977	126.877	1.040	2.32e-123
KDELR2	ENSG00000136240.9	46.465	16.020	1.480	3.50e-158
ZDHHC4	ENSG00000136247.14	65.154	31.460	1.027	5.25e-138
MMD2	ENSG00000136297.14	14.295	6.370	1.053	1.78e-22
IREB2	ENSG00000136381.12	11.315	5.060	1.023	3.16e-87
SRSF1	ENSG00000136450.12	95.170	47.019	1.002	3.61e-98
VEZF1	ENSG00000136451.8	38.220	7.990	2.125	1.61e-198
KAT7	ENSG00000136504.11	42.819	17.250	1.264	3.00e-106
RTP4	ENSG00000136514.2	2.855	0.570	1.296	5.24e-84
SCN2A	ENSG00000136531.13	4.495	17.540	-1.755	2.31e-45
TBR1	ENSG00000136535.14	1.055	21.570	-3.457	9.04e-112
MAR7	ENSG00000136536.14	32.019	12.560	1.284	1.06e-104
TANK	ENSG00000136560.13	26.626	11.260	1.172	5.91e-120
SKIL	ENSG00000136603.13	9.695	3.590	1.220	5.73e-119
HLX	ENSG00000136630.12	3.240	1.010	1.077	7.56e-71
KCTD3	ENSG00000136636.12	43.385	14.030	1.562	1.73e-163
UGGT1	ENSG00000136731.12	9.395	3.190	1.311	6.17e-121
GYPC	ENSG00000136732.14	21.436	3.900	2.195	6.79e-114
GAD2	ENSG00000136750.11	1.330	11.490	-2.422	8.60e-55
LRRC8A	ENSG00000136802.11	121.793	40.850	1.553	1.20e-92
SMC2	ENSG00000136824.18	6.905	1.940	1.427	1.30e-116
FAM129B	ENSG00000136830.11	29.545	10.680	1.387	4.72e-112
STXBP1	ENSG00000136854.17	57.735	294.025	-2.329	1.19e-71
ZFP37	ENSG00000136866.13	4.435	1.190	1.311	2.98e-113
SLC31A1	ENSG00000136868.10	10.735	3.870	1.269	6.91e-134
TLR4	ENSG00000136869.13	10.820	3.330	1.449	1.50e-57
KIF12	ENSG00000136883.12	0.100	2.240	-1.558	4.69e-115
GARNL3	ENSG00000136895.18	11.785	25.660	-1.060	9.57e-53
PDCL	ENSG00000136940.13	14.050	3.990	1.593	2.71e-205
RPL35	ENSG00000136942.14	1241.397	588.948	1.074	9.41e-85
MYC	ENSG00000136997.14	34.274	1.790	3.660	8.59e-195
NOV	ENSG00000136999.4	2.450	6.890	-1.193	1.73e-30
IL33	ENSG00000137033.11	18.890	5.010	1.727	6.65e-75
POLR1E	ENSG00000137054.15	19.130	7.190	1.297	1.27e-160
RNF38	ENSG00000137075.17	21.360	9.550	1.084	1.36e-80
TLN1	ENSG00000137076.18	96.599	29.300	1.688	1.29e-145
GRHPR	ENSG00000137106.17	139.952	60.358	1.200	5.50e-159
IGFBPL1	ENSG00000137142.4	1.625	0.250	1.070	3.53e-39
RPS6	ENSG00000137154.12	1510.383	496.826	1.602	4.93e-115
PPIL1	ENSG00000137168.7	41.795	18.720	1.118	1.41e-138
KIF13A	ENSG00000137177.18	24.299	9.940	1.209	1.65e-105
TFAP2A	ENSG00000137203.10	3.045	0.210	1.741	1.45e-74
KIAA0319	ENSG00000137261.13	1.310	8.680	-2.067	2.22e-82
TUBB2A	ENSG00000137267.5	189.059	459.683	-1.277	7.94e-28
LRRC1	ENSG00000137269.14	12.450	3.100	1.714	9.92e-124
TUBB2B	ENSG00000137285.9	433.442	172.936	1.321	5.39e-75
TCF19	ENSG00000137310.11	3.710	0.860	1.340	7.63e-101
MDC1	ENSG00000137337.14	21.405	9.870	1.043	7.38e-109
NRM	ENSG00000137404.14	10.370	2.380	1.750	5.55e-131
FHDC1	ENSG00000137460.8	3.040	0.480	1.449	1.37e-72
TLR2	ENSG00000137462.6	3.270	0.790	1.254	1.41e-36
FCHSD2	ENSG00000137478.14	52.421	11.400	2.107	2.02e-154
SLCO2B1	ENSG00000137491.14	45.914	15.470	1.510	1.06e-100
PRKRIR	ENSG00000137492.7	23.489	11.060	1.022	3.94e-109
IL18BP	ENSG00000137496.17	10.945	4.270	1.181	2.70e-54
SYTL2	ENSG00000137501.16	15.905	52.709	-1.668	1.16e-76
RAB30	ENSG00000137502.9	12.145	5.090	1.110	8.06e-73
LRRC32	ENSG00000137507.11	2.810	7.460	-1.151	1.02e-49
PRCP	ENSG00000137509.10	127.738	26.880	2.207	6.40e-193
NARS2	ENSG00000137513.9	14.310	6.250	1.078	1.17e-124
SULF1	ENSG00000137573.13	8.290	2.730	1.317	3.65e-30
SORL1	ENSG00000137642.12	44.035	20.730	1.051	7.16e-46
RDX	ENSG00000137710.14	77.096	20.350	1.871	7.62e-154
FXYD6	ENSG00000137726.15	897.332	353.998	1.339	4.00e-62
UNC13C	ENSG00000137766.16	1.025	27.261	-3.803	6.19e-150
NUSAP1	ENSG00000137804.12	6.295	0.540	2.244	2.32e-87
RPLP1	ENSG00000137818.11	1457.620	401.511	1.858	1.62e-156
ITPKA	ENSG00000137825.10	4.965	54.451	-3.217	1.51e-117
PAK6	ENSG00000137843.11	1.765	19.500	-2.890	9.34e-95
RSL24D1	ENSG00000137876.9	66.121	31.639	1.040	6.83e-106
GCHFR	ENSG00000137880.5	2.575	9.250	-1.520	2.15e-66
IFI44L	ENSG00000137959.15	12.415	3.140	1.696	3.98e-51
RPL7P9	ENSG00000137970.7	37.905	8.590	2.020	5.11e-144
HADHB	ENSG00000138029.13	146.108	64.462	1.168	3.79e-121
TRIM54	ENSG00000138100.13	0.175	9.170	-3.114	2.54e-245
MYOF	ENSG00000138119.16	4.085	1.540	1.001	8.56e-37
KIF11	ENSG00000138160.5	2.165	0.360	1.219	3.87e-83
ENTPD1	ENSG00000138185.16	10.775	4.450	1.111	1.41e-114
RBP4	ENSG00000138207.12	2.065	41.969	-3.809	1.16e-121
ZNF365	ENSG00000138311.15	8.230	31.939	-1.835	5.90e-78
RPS24	ENSG00000138326.18	2662.562	884.610	1.589	3.25e-115
STAT4	ENSG00000138378.17	0.450	15.680	-3.524	1.20e-163
MSTN	ENSG00000138379.4	4.330	0.430	1.898	8.49e-62
NAB1	ENSG00000138386.16	21.989	9.060	1.192	1.47e-96
IDH1	ENSG00000138413.13	49.164	10.600	2.113	1.23e-185
WDR12	ENSG00000138442.9	26.040	8.210	1.554	7.70e-173
ITGAV	ENSG00000138448.11	46.495	11.760	1.896	1.25e-146
SLC40A1	ENSG00000138449.10	14.485	2.830	2.015	2.92e-138
SLC35A5	ENSG00000138459.8	39.816	13.730	1.470	3.67e-114
PARP9	ENSG00000138496.16	13.175	4.290	1.422	4.64e-72
USP8	ENSG00000138592.13	27.025	12.410	1.063	1.22e-101
SPPL2A	ENSG00000138600.9	13.705	3.250	1.791	6.03e-119
VWA9	ENSG00000138614.14	23.900	8.900	1.331	3.80e-176
HERC3	ENSG00000138641.15	52.765	23.221	1.150	9.14e-56
HERC5	ENSG00000138646.8	4.075	1.350	1.111	6.39e-39
HNRNPD	ENSG00000138668.18	169.847	73.541	1.197	2.73e-138
FGF2	ENSG00000138685.12	11.690	5.000	1.081	3.36e-58
PRDM5	ENSG00000138738.10	4.575	1.660	1.068	7.53e-68
FRAS1	ENSG00000138759.17	0.270	1.600	-1.034	7.87e-72
SCARB2	ENSG00000138760.8	114.320	34.890	1.684	7.69e-161
GSTCD	ENSG00000138780.14	4.305	1.270	1.225	5.06e-135
INTS12	ENSG00000138785.14	22.665	7.890	1.412	1.42e-160
HADH	ENSG00000138796.15	42.725	18.080	1.196	8.15e-160
PAPSS1	ENSG00000138801.8	56.535	24.200	1.191	3.92e-107
PPP3CA	ENSG00000138814.16	32.704	72.998	-1.135	1.23e-43
FBN2	ENSG00000138829.10	1.415	0.070	1.174	1.26e-83
GUCD1	ENSG00000138867.16	38.225	16.790	1.141	5.73e-148
KIAA1644	ENSG00000138944.7	3.680	18.860	-2.085	6.56e-54
PARVG	ENSG00000138964.16	9.650	1.830	1.912	1.92e-77
GABARAPL1	ENSG00000139112.10	89.600	238.359	-1.402	3.83e-45
FAM60A	ENSG00000139146.13	11.960	0.700	2.930	4.39e-191
VAMP1	ENSG00000139190.16	13.030	71.868	-2.377	3.06e-108
TAPBPL	ENSG00000139192.11	12.825	5.270	1.141	3.95e-90
PPFIA2	ENSG00000139220.16	8.870	19.419	-1.049	2.39e-28
LLPH	ENSG00000139233.6	20.604	8.880	1.129	4.25e-157
RPL14P1	ENSG00000139239.7	12.150	4.320	1.306	6.33e-107
PHLDA1	ENSG00000139289.13	72.781	7.380	3.138	1.06e-172
TMEM19	ENSG00000139291.13	11.175	3.470	1.446	5.15e-119
LGR5	ENSG00000139292.12	2.980	0.690	1.236	9.72e-46
POC1B	ENSG00000139323.13	12.470	4.910	1.189	1.33e-116
SNRPF	ENSG00000139343.10	33.291	13.740	1.218	3.32e-153
NEDD1	ENSG00000139350.11	5.710	1.130	1.655	3.82e-145
SDSL	ENSG00000139410.14	20.345	5.700	1.672	1.27e-92
GLTP	ENSG00000139433.9	42.175	14.750	1.455	2.82e-111
FAM222A	ENSG00000139438.5	28.290	5.400	2.194	4.09e-106
SLC7A1	ENSG00000139514.12	26.985	9.300	1.442	3.57e-104
KANSL2	ENSG00000139620.12	24.294	10.470	1.141	7.11e-134
TMBIM6	ENSG00000139644.12	469.668	169.682	1.463	1.18e-151
LPAR6	ENSG00000139679.15	10.540	4.570	1.051	6.65e-50
ESD	ENSG00000139684.13	112.856	53.500	1.063	1.13e-114
RB1	ENSG00000139687.13	24.980	6.050	1.882	9.71e-117
MORN3	ENSG00000139714.12	0.750	2.750	-1.100	1.75e-26
RHOF	ENSG00000139725.7	2.455	6.650	-1.147	9.42e-58
SLAIN1	ENSG00000139737.21	109.458	32.730	1.711	2.05e-82
SRRM4	ENSG00000139767.8	1.515	12.140	-2.385	4.13e-89
RAB20	ENSG00000139832.4	8.590	1.510	1.934	1.18e-104
NOVA1	ENSG00000139910.19	78.770	27.779	1.471	5.32e-105
MDGA2	ENSG00000139915.18	3.235	0.870	1.179	1.04e-53
TMX1	ENSG00000139921.12	21.350	3.730	2.240	9.52e-214
PELI2	ENSG00000139946.9	7.355	1.770	1.593	5.75e-154
SYT16	ENSG00000139973.15	1.440	4.300	-1.119	3.47e-33
RAB15	ENSG00000139998.14	10.495	66.132	-2.546	1.67e-98
WDR89	ENSG00000140006.11	6.985	2.920	1.026	1.14e-129
KCNH5	ENSG00000140015.19	0.120	1.580	-1.204	3.51e-67
PTGR2	ENSG00000140043.11	16.010	7.460	1.008	3.09e-82
TCF12	ENSG00000140262.17	158.968	9.070	3.990	1.41e-219
SORD	ENSG00000140263.13	20.480	4.250	2.033	7.64e-153
SERF2	ENSG00000140264.19	693.210	332.335	1.058	3.64e-101
ZSCAN29	ENSG00000140265.12	10.685	4.320	1.135	2.37e-66
SLC27A2	ENSG00000140284.10	0.160	1.390	-1.043	6.76e-71
GTF2A2	ENSG00000140307.10	117.266	43.549	1.409	1.28e-191
TLE3	ENSG00000140332.15	31.200	9.880	1.565	9.10e-125
PSTPIP1	ENSG00000140368.12	14.725	2.350	2.231	4.94e-105
TSPAN3	ENSG00000140391.14	663.291	185.335	1.834	2.07e-201
NCOA2	ENSG00000140396.12	11.505	4.860	1.093	2.70e-67
NEIL1	ENSG00000140398.13	15.204	46.941	-1.565	9.32e-103
USP3	ENSG00000140455.16	18.920	4.760	1.790	8.21e-174
PCSK6	ENSG00000140479.16	19.855	4.780	1.851	5.48e-34
SCAMP2	ENSG00000140497.16	67.940	15.310	2.080	6.04e-240
RHCG	ENSG00000140519.12	0.375	3.200	-1.611	3.37e-132
SH3GL3	ENSG00000140600.16	13.135	35.931	-1.386	7.10e-49
SEC11A	ENSG00000140612.13	110.817	23.230	2.206	1.11e-248
